Paper,Unit,Unit Name,Sub-Topic/Thinker,Directive,Question Text,Year,Marks,1. INTRO (Max 40 words),2. BODY SKELETON (5-6 Bullet Points),3. CONCLUSION (Max 40 words)
Paper I,"1.1, 1.2, 1.3","Meaning, Scope, Relationships, and Main branches of Anthropology ",Scope of Anthropology,"Elaborate, Elucidate",Elaborate the scope of anthropology and elucidate its uniqueness in the field of other social sciences.,2021,20,"[Re: Scope & Uniqueness] Anthropology, defined by Clyde Kluckhohn as the ""mirror for man,"" is the comprehensive bio-cultural study of humans. Its scope spans across time (evolution) and space (global cultures).","• Scope: Bio-physical (genetics), Socio-cultural (institutions), Archaeological (past), Linguistic (language).

• Uniqueness - Holism: Connects biology and culture.

• Uniqueness - Methodology: Relies on fieldwork and participant observation (Malinowski).

• Uniqueness - Perspective: Employs cultural relativism (Boas) to avoid ethnocentrism.

• Micro vs. Macro: Focuses on intensive micro-level studies of communities unlike the macro-level surveys of Economics or Sociology.","Its unique holistic and culturally relativistic perspective makes it vital today, shifting its identity from the colonial ""study of primitives"" to the scientific study of global humanity."
Paper I,"1.1, 1.2, 1.3","Meaning, Scope, Relationships, and Main branches of Anthropology ",Branches of Anthropology,How,How can synergizing the core branches of anthropology reinvigorate the holistic spirit of the discipline?,2020,20,"[Re: Synergizing core branches] Anthropology’s unique strength is ""holism."" As Franz Boas demonstrated, studying humans requires integrating biological, socio-cultural, archaeological, and linguistic dimensions to avoid fragmented understandings of the human condition.","• Bio-Cultural Synthesis: Link genetics to culture (e.g., Sickle cell anemia trait prevalence linked to slash-and-burn agriculture).

• Arch & Socio-Cultural: Ethnoarchaeology—understanding past societies through present tribal practices.

• Linguistic & Cultural: Sapir-Whorf hypothesis; how language shapes cultural worldview.

• Applied Synergy: Medical anthropology combining biology and cultural beliefs to address vaccine hesitancy.

• Diagram: A 4-circle Venn diagram showing the branches overlapping at ""Holism"".","Re-emphasizing holism prevents the discipline from becoming overly specialized. As Eric Wolf noted, it remains the most scientific of the humanities and the most humanistic of the sciences."
Paper I,"1.1, 1.2, 1.3","Meaning, Scope, Relationships, and Main branches of Anthropology ",Archaeological Anthropology,Give an account,Give an account of the field methods used in the study of Archaeological Anthropology.,2018,15,"[Re: Field methods in Archaeological Anthro] Archaeological anthropology reconstructs past human cultures through material remains. Core methods involve systematic discovery and recovery, established by pioneers like Mortimer Wheeler and V. Gordon Childe.","• Exploration/Survey: Aerial photography, Ground Penetrating Radar (GPR), and systematic field walking to locate sites.

• Excavation Methods: Vertical (stratigraphic—for chronological sequence) vs. Horizontal (open-area—for community layout).

• Recording & Recovery: Gridding, trenching, and context recording of artifacts and ecofacts.

• Dating Methods: Relative (stratigraphy, typology) and Absolute (C-14, Dendrochronology).

• Post-Excavation: Assemblage analysis and ethnoarchaeological comparison.","Modern archaeology has moved beyond antiquarianism into ""processual archaeology"" (Binford), using rigorous scientific field methods to understand the 'why' of past human behavior and cultural evolution."
Paper I,"1.1, 1.2, 1.3","Meaning, Scope, Relationships, and Main branches of Anthropology ",Relevance of Anthropology,Short Note,The Relevance of Anthropology.,2018,10,"[Re: Relevance of Anthropology] Anthropology's relevance lies in its applied nature. Scholars like Margaret Mead and Ruth Benedict demonstrated how anthropological insights can solve practical, contemporary human problems.","• Tribal Administration: Designing culturally appropriate policies (e.g., Verrier Elwin’s philosophy, Tribal Sub-Plans).

• Medical Anthropology: Understanding cultural barriers to healthcare and integrating ethnomedicine.

• Corporate & Design: Applying ethnography to consumer behavior and organizational culture (e.g., Intel using anthropologists).

• Conflict Resolution: Using cultural relativism to foster tolerance in multi-ethnic societies.

• Forensics: Applying physical anthropology for identification in criminal cases or disasters.","In a rapidly globalizing world, anthropology is crucial for designing inclusive, ground-up development policies (like the Xaxa Committee recommendations) and preventing cultural assimilation."
Paper I,"1.1, 1.2, 1.3","Meaning, Scope, Relationships, and Main branches of Anthropology ",Branches of Anthropology,"Define, Describe",Define Anthropology. Describe the major branches of Anthropology elaborating on any one branch.,2017,20,"[Re: Define & Describe major branches] Paul Broca defines anthropology as ""the natural history of man."" Institutionalized by Franz Boas via the ""four-field approach,"" it is the holistic study of humanity across all dimensions.","• The 4 Branches: Socio-cultural, Biological, Archaeological, Linguistic.

• Elaborating Socio-Cultural: Studies contemporary human societies, norms, and institutions.

• Core Themes: Kinship, religion, political systems, and economic exchange.

• Methodology: Relies heavily on long-term fieldwork and Participant Observation (Malinowski).

• Theoretical Breadth: Spans from Functionalism (Radcliffe-Brown) to Structuralism (Levi-Strauss) to understand societal maintenance.","While subdivided for academic specialization, the branches are interconnected, working together synergistically to decipher the complete, complex story of human evolution and cultural diversity."
Paper I,"1.1, 1.2, 1.3","Meaning, Scope, Relationships, and Main branches of Anthropology ",Social Anthropology vs Sociology,Differentiate,Differences between Social Anthropology and Sociology.,2016,10,"[Re: Social Anthro vs Sociology] Both study human society, but differ in origin and method. E.E. Evans-Pritchard viewed social anthropology as a branch of sociological studies that primarily studies ""other cultures.""","• Origin: Anthropology grew from studying colonized, non-literate societies; Sociology emerged from the Industrial Revolution to study complex Western societies.

• Methodology: Anthropology uses qualitative fieldwork/participant observation; Sociology relies on quantitative tools, surveys, and statistics.

• Scope: Anthropology is micro and holistic (studying a whole village); Sociology is macro and specialized (studying specific problems like urban crime).

• Current Trend: Convergence of both fields in modern research.","Today, the boundaries are blurring as anthropologists study urban spaces and sociologists adopt qualitative methods, creating a unified approach to understanding modern social complexities."
Paper I,"1.1, 1.2, 1.3","Meaning, Scope, Relationships, and Main branches of Anthropology ",Archaeological Anthropology,Short Note,Archaeological Anthropology.,2015,10,"[Re: Archaeological Anthropology (Short Note)] A subfield of anthropology that studies the human past through material culture (artifacts, ecofacts). V. Gordon Childe emphasized its role in tracing broad patterns of cultural evolution.","• Timeframes: Prehistoric (before writing), Historic (with text), and Ethnoarchaeology (studying living groups to understand the past).

• Core Principle: Law of Superposition (older layers are at the bottom).

• Focus Areas: Lithic tool typology (Paleolithic to Neolithic transitions), subsistence patterns, and settlement archaeology.

• Goal: To reconstruct past lifeways and explain cultural changes (e.g., the agricultural revolution).","It provides the only deep-time perspective on human existence, acting as the crucial bridge between biological evolution and recorded socio-cultural history."
Paper I,"1.1, 1.2, 1.3","Meaning, Scope, Relationships, and Main branches of Anthropology ",Role of Anthropology,Critically examine,Critically examine the role of anthropology in Contemporary India.,2014,15,"[Re: Role of Anthro in Contemporary India] In India, anthropology transitioned from colonial administration (Risley) to nation-building and tribal welfare, heavily influenced by scholars like L.P. Vidyarthi and S.C. Roy.","• Tribal Welfare: Guiding integration policies (Panchsheel) and evaluating constitutional safeguards (Xaxa Committee).

• Rural Development: M.N. Srinivas’ village studies helping understand caste dynamics and rural mobility.

• Health & Genetics: Mapping genetic diversity and tackling specific issues like sickle cell anemia in tribal belts.

• Critique/Challenges: Often ignored by mainstream policymakers; occasionally accused of romanticizing tribal isolation or being anti-development.","To be truly effective, Indian anthropology must move from mere observation to ""Action Anthropology,"" proactively participating in policy formulation to ensure development is inclusive and culturally sensitive."
Paper I,"1.1, 1.2, 1.3","Meaning, Scope, Relationships, and Main branches of Anthropology ",Subdivisions,Short Note,Major subdivisions of Anthropology.,2014,10,"[Re: Major subdivisions of Anthropology] Franz Boas institutionalized the ""four-field approach"" in anthropology, asserting that a complete study of humanity requires distinct but interconnected biological, cultural, archaeological, and linguistic perspectives.","• Socio-Cultural: Focuses on social institutions, norms, kinship, and religion of living populations.

• Biological/Physical: Studies human evolution, genetics, primatology, and physiological adaptation.

• Archaeological: Reconstructs past cultures and lifeways through material remains and stratigraphy.

• Linguistic: Examines language in its social and cultural context (sociolinguistics, cognitive anthropology).

• Diagram: A central node labeled ""Anthropology"" branching out into the four sub-fields.","These subdivisions, while utilizing distinct methodologies, converge on the shared disciplinary goal of understanding the full spectrum of human variation and universality."
Paper I,1.4,Human Evolution and emergence of Man,Biological/Cultural Factors,Critically discuss,Critically discuss the synergistic effect of biological and cultural factors in human evolution.,2024,15,"[Re: Synergistic effect of bio/cultural factors] Anthropologist Sherwood Washburn's concept of the ""Biocultural Synthesis"" posits that human evolution is not strictly biological; culture acts as a primary selective evolutionary pressure, creating a continuous feedback loop.","• Bipedalism & Tools: Freeing hands (biological) allowed tool making (Oldowan culture), altering diets.

• Fire & Dentition: Cultural use of fire cooked food, leading to a biological reduction in jaw size and dentition.

• Brain & Language: Encephalization necessitated complex social structures and symbolic language (Broca's area development).

• Agriculture & Genetics: Slash-and-burn agriculture (culture) created mosquito habitats, leading to the selection of the Sickle Cell trait (biology).

• Diagram: A circular flow chart showing Biology -> enabling Culture -> creating selective pressure -> modifying Biology.","Understanding this synergy is essential today, particularly in evolutionary medicine, to explain ""mismatch diseases"" like obesity, where our paleolithic biology clashes with modern cultural environments."
